상호명,대표주소,네이버플레이스,네이버지도검색링크,네이버예약URL,지역_시도,지역_시군구,지역_읍면동,식당유형_대,식당유형_세부,주요리_대표,검색태그,배지,출처유형,근거URL,근거문구,최종업데이트
25센치꼬치앤오뎅바,경상남도 김해시 율하6로 52 111호,"https://map.naver.com/p/entry/place/1038622175?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061301&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1038622175?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061301&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/25%EC%84%BC%EC%B9%98%EA%BC%AC%EC%B9%98%EC%95%A4%EC%98%A4%EB%8E%85%EB%B0%94%20%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84%20%EA%B9%80%ED%95%B4%EC%8B%9C%20%EC%9C%A8%ED%95%986%EB%A1%9C%2052%20111%ED%98%B8,경상남도,김해시,장유동,주점,기타(주점/카페/뷔페/기타),주류/안주,"주점,펍/바,주류/안주,바,펍",오직미클럽,ozicme-base,,,2026-02-05
25센치꼬치앤오뎅바,경상남도 양산시 평산중앙로 13,"https://map.naver.com/p/entry/place/1767053442?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101510&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1767053442?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101510&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/25%EC%84%BC%EC%B9%98%EA%BC%AC%EC%B9%98%EC%95%A4%EC%98%A4%EB%8E%85%EB%B0%94%20%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84%20%EC%96%91%EC%82%B0%EC%8B%9C%20%ED%8F%89%EC%82%B0%EC%A4%91%EC%95%99%EB%A1%9C%2013,경상남도,양산시,평산동,주점,기타(주점/카페/뷔페/기타),주류/안주,"주점,펍/바,주류/안주,바,펍",오직미클럽,ozicme-base,,,2026-02-05
25센치꼬치앤오뎅바,부산광역시 북구 덕천1길 40 1층,"https://map.naver.com/p/entry/place/1720845639?placePath=%2Fhome&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1720845639?placePath=%2Fhome&c=15.00,0,0,0,dh",https://map.naver.com/p/search/25%EC%84%BC%EC%B9%98%EA%BC%AC%EC%B9%98%EC%95%A4%EC%98%A4%EB%8E%85%EB%B0%94%20%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EB%B6%81%EA%B5%AC%20%EB%8D%95%EC%B2%9C1%EA%B8%B8%2040%201%EC%B8%B5,부산광역시,북구,덕천동,주점,기타(주점/카페/뷔페/기타),주류/안주,"주점,펍/바,주류/안주,바,펍",오직미클럽,ozicme-base,,,2026-02-05
25센치꼬치앤오뎅바,충청남도 천안시 서북구 두정로 227,"https://map.naver.com/p/entry/place/2005554081?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072019&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/2005554081?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072019&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/25%EC%84%BC%EC%B9%98%EA%BC%AC%EC%B9%98%EC%95%A4%EC%98%A4%EB%8E%85%EB%B0%94%20%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84%20%EC%B2%9C%EC%95%88%EC%8B%9C%20%EC%84%9C%EB%B6%81%EA%B5%AC%20%EB%91%90%EC%A0%95%EB%A1%9C%20227,충청남도,천안시 서북구,두정동,주점,기타(주점/카페/뷔페/기타),주류/안주,"주점,펍/바,주류/안주,바,펍",오직미클럽,ozicme-base,,,2026-02-05
38소갈비살,경기도 부천시 부일로496번길 18 1층,"https://map.naver.com/p/entry/place/33856335?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072249&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/33856335?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072249&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/38%EC%86%8C%EA%B0%88%EB%B9%84%EC%82%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%B6%80%EC%B2%9C%EC%8B%9C%20%EB%B6%80%EC%9D%BC%EB%A1%9C496%EB%B2%88%EA%B8%B8%2018%201%EC%B8%B5,경기도,부천시,심곡동,한식,고기/구이,갈비,"한식,갈비",오직미클럽,ozicme-base,,,2026-02-05
가네초밥,서울특별시 광진구 광나루로 352 1층,"https://map.naver.com/p/entry/place/1418788789?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101511&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1418788789?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101511&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%80%EB%84%A4%EC%B4%88%EB%B0%A5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B4%91%EB%82%98%EB%A3%A8%EB%A1%9C%20352%201%EC%B8%B5,서울특별시,광진구,화양동,일식,일식,초밥/스시,"일식,초밥/스시,초밥",오직미클럽,ozicme-base,,,2026-02-05
가랑육비 김해주촌본점,경상남도 김해시 주촌면 선지리 1531-6 식당,"https://map.naver.com/p/entry/place/1353793709?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601052139&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1353793709?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601052139&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%80%EB%9E%91%EC%9C%A1%EB%B9%84%20%EA%B9%80%ED%95%B4%EC%A3%BC%EC%B4%8C%EB%B3%B8%EC%A0%90%20%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84%20%EA%B9%80%ED%95%B4%EC%8B%9C%20%EC%A3%BC%EC%B4%8C%EB%A9%B4%20%EC%84%A0%EC%A7%80%EB%A6%AC%201531-6%20%EC%8B%9D%EB%8B%B9,경상남도,김해시,주촌면,한식,정식/백반,백반/정식,"한식,백반/정식,백반",오직미클럽,ozicme-base,,,2026-02-05
가마솥칼국수,경기도 가평군 설악면 유명로 625-8 유명로625-8,"https://map.naver.com/p/entry/place/1842812272?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101518&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1842812272?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101518&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%80%EB%A7%88%EC%86%A5%EC%B9%BC%EA%B5%AD%EC%88%98%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B0%80%ED%8F%89%EA%B5%B0%20%EC%84%A4%EC%95%85%EB%A9%B4%20%EC%9C%A0%EB%AA%85%EB%A1%9C%20625-8%20%EC%9C%A0%EB%AA%85%EB%A1%9C625-8,경기도,가평군,설악면,한식,면요리,칼국수,"한식,칼국수,면",오직미클럽,ozicme-base,,,2026-02-05
가오리수제생갈비,서울특별시 강북구 삼각산로 101,"https://map.naver.com/p/entry/place/1847415820?lng=127.0154243&lat=37.64073&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601052113&locale=ko&svcName=map_pcv5&entry=plt&searchType=place&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1847415820?lng=127.0154243&lat=37.64073&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601052113&locale=ko&svcName=map_pcv5&entry=plt&searchType=place&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%80%EC%98%A4%EB%A6%AC%EC%88%98%EC%A0%9C%EC%83%9D%EA%B0%88%EB%B9%84%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%B6%81%EA%B5%AC%20%EC%82%BC%EA%B0%81%EC%82%B0%EB%A1%9C%20101,서울특별시,강북구,수유동,한식,고기/구이,갈비,"한식,갈비",오직미클럽,ozicme-base,,,2026-02-05
가원한우곰탕,울산광역시 울주군 온양읍 터실3길 12 1층 가원 한우곰탕,"https://map.naver.com/p/entry/place/16511669?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061643&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/16511669?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061643&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%80%EC%9B%90%ED%95%9C%EC%9A%B0%EA%B3%B0%ED%83%95%20%EC%9A%B8%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EC%9A%B8%EC%A3%BC%EA%B5%B0%20%EC%98%A8%EC%96%91%EC%9D%8D%20%ED%84%B0%EC%8B%A43%EA%B8%B8%2012%201%EC%B8%B5%20%EA%B0%80%EC%9B%90%20%ED%95%9C%EC%9A%B0%EA%B3%B0%ED%83%95,울산광역시,울주군,온양읍,한식,국밥/탕,곰탕/설렁탕,"한식,탕/곰탕,곰탕/설렁탕,탕",오직미클럽,ozicme-base,,,2026-02-05
