상호명,대표주소,네이버플레이스,이미지,지역_시도,지역_시군구,지역_읍면동,식당유형_대,식당유형_세부,주요리_대표,검색태그,네이버검색어,,
서윤식당,강원 춘천시 춘천로 271 1층,https://map.naver.com/p/entry/place/1284913565,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231104_211%2F1699078660310umvJy_JPEG%2FIMG_8311.jpeg,강원,춘천시,후평동,돼지고기구이,고기/구이,묵은지 삼겹살 200g/수제돼지갈비 300g/매운 돼지갈비찜 (밥별도)/묵은지 찌개(2인이상 솥밥포함)/동태찌개 (2인이상 솥밥포함)/낙지볶음(2인이상 솥밥포함)/두부전골(2인이상 솥밥포함)/즉석솥밥/묵은지토종닭볶음탕(한마리)/묵은지토종닭볶음탕(반마리),"삼겹살,돼지고기구이,낙지,탕,갈비,고기/구이",강원 춘천시 석사동 솥밥,,
김인복의광평 삼성본점,서울 강남구 영동대로106길 45 김인복의광평 삼성본점,https://map.naver.com/p/entry/place/1648999759,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241023_5%2F17296553170344k9nT_JPEG%2FKakaoTalk_20241023_103836583.jpg,서울,강남구,삼성동,"육류,고기요리",고기/구이,평양냉면(물/비빔)/골동면/난축맛돈 구이/양념돼지갈비/육회한우니/평양냉면과 돔베고기/골동면과 돔베고기/한우 육개장 솥밥/전복김치/한우 숯불구이 정식,"회,면,한우,육류,고기요리,갈비,고기/구이",서울 송파구 신천동 솥밥,,
백년가 삼성중앙역본점,"서울 강남구 삼성로 571 1층, 2층",https://map.naver.com/p/entry/place/1613617759,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240803_166%2F1722665816479LI76W_JPEG%2F%25B9%25E9%25B3%25E2%25B0%25A1_31.jpeg,서울,강남구,삼성동,"육류,고기요리",고기/구이,[점심 특선] 한우불고기 세트/[점심 특선] 소갈비찜 세트/[점심 특선] 영광보리굴비 세트/[점심 특선] 소양념갈비 세트/[점심 특선] 한우등심 정식/백년 한우 안창살 (120g)/백년 한우 살치살 (120g)/백년 한우 특안심 (120g)/백년 한우 꽃등심 (130g)/백년 소양념갈비 (300g),"한우,육류,고기요리,갈비,고기/구이",서울 강남구 압구정동 솥밥,,
토말실비,서울 강남구 삼성로104길 16 은지빌딩 1층,https://map.naver.com/p/entry/place/1877879360,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260122_214%2F1769081030563kHpAz_JPEG%2FKakaoTalk_20260121_003420755_10.jpg,서울,강남구,삼성동,한식,해산물/회,제철 숙성사시미 한상/땅끝바다 한상/숙성사시미(2인)/토말 모둠해산물 한상/대방어 사시미 한상/대방어 사시미 단품/여수 대삼치 사시미/돌문어 숙회 한상/생연어 사시미/이소베 마끼,"회,한식,해산물/회",서울 강남구 청담동 솥밥,,
북창동순두부 강남구청점,서울 강남구 학동로56길 26 북창동순두부 강남구청점,https://map.naver.com/p/entry/place/462619399,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250617_137%2F1750139079238j9ekb_PNG%2F%25BF%25AC%25C3%25E2%25C4%25C61.png,서울,강남구,삼성동,두부요리,고기/구이,북창동순두부/해물순두부/고등어+갈비맛목살구이 2인 한상차림/고등어+LA갈비 2인 한상차림/햄치즈순두부/소고기순두부/핵매운라면순두부/해바랑청국장순두부/곱창순두부/고등어+고추장불고기 2인 한상차림,"순두부,고기/구이,두부요리,면,한우,갈비",서울 강남구 신사동 솥밥,,
순옥이네명가 현대백화점 무역센터점,서울 강남구 테헤란로 517,https://map.naver.com/p/entry/place/1151308178,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230301_28%2F1677662277941uEjbj_JPEG%2F20230228_105639505.jpg,서울,강남구,삼성동,한식,두루치기,제주 두루치기 반상/전복.고등어조림 반상/제주게우솥밥.고등어구이반상/제주게우솥밥.두루치기 반상/성게 미역국.고등어구이반상/성게미역국.제주갈치구이반상/제주해물뚝배기.고등어구이반상/제주해물뚝배기.제주갈치구이반상/전복게우솥밥.고등어구이반상/전복게우솥밥.두루치기반상,"두루치기,한식",서울 송파구 신천동 솥밥,,
우화당,서울 강남구 테헤란로81길 22 지하 1층,https://map.naver.com/p/entry/place/1161199107,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240905_2%2F1725514518771PO10n_JPEG%2F%25B8%25DE%25C0%25CE.jpg,서울,강남구,삼성동,한식,고기/구이,등심 솥밥/갈비탕/갈비찜/마라솥밥/영양솥밥/채끝등심/안심/꽃등심/살치살/안창살,"한식,탕,갈비,고기/구이",서울 강남구 청담동 솥밥,,
스시산원,서울 강남구 선릉로100길 42 1층1호동,https://map.naver.com/p/entry/place/34006938,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181219_90%2F1545207184999f201N_JPEG%2FnGm3LW0jznOnqFoZzU21EGPV.jpg,서울,강남구,삼성동,"초밥,롤",해산물/회,런치오마카세코스/디너오마카세코스,"초밥,롤,해산물/회,초밥",서울 강남구 개포동 솥밥,,
만학 현대백화점 무역센터점,서울 강남구 테헤란로 517 지하1층 푸드코트,https://map.naver.com/p/entry/place/1609331742,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240810_138%2F1723246824292W29Qa_JPEG%2F%25BF%25AC%25C3%25E2%25C4%25C61.jpeg,서울,강남구,삼성동,한식,고기/구이,스테이크솥밥/전복버섯솥밥/장어솥밥/연어솥밥/차돌박이마늘솥밥/마라가지솥밥/통고추튀김과 트러플마요,"장어,한식,고기/구이",서울 송파구 신천동 솥밥,,
맛찬들왕소금구이 삼성직영점,서울 강남구 삼성로104길 23 1층 맛찬들왕소금구이 삼성직영점,https://map.naver.com/p/entry/place/1277675265,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251010_35%2F1760075323498eWJCL_JPEG%2F%25BB%25EF%25B0%25E3%25BB%25EC2.jpg,서울,강남구,삼성동,"육류,고기요리",고기/구이,14일숙성 생삼겹살/14일숙성 생목살/돌솥밥(생취나물)/14일숙성 특수부위모듬/14일숙성 오겹살/미식가용 생삼겹살,"육류,고기요리,삼겹살,고기/구이",서울 강남구 역삼동 솥밥,,
이천가든 코엑스점,"서울 강남구 영동대로 513 , B1층",https://map.naver.com/p/entry/place/1789737866,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200406_38%2F1586131554870UrgtL_JPEG%2FtLTqZ7lWwNXv9gvtnzF-K8IJ.jpeg.jpg,서울,강남구,삼성동,한식,고기/구이,삼겹반상 고추장 M/2인 세트 A/2인 세트 B/이천불백 오리지널 M/이천불백 간장 M/이천불백 고추장 M/삼겹반상 오리지널 M/삼겹반상 간장 M/소불고기반상 M/스테이크 반상,"한식,삼겹살,고기/구이",서울 송파구 신천동 솥밥,,
배산임수,서울 강남구 영동대로106길 9 5층,https://map.naver.com/p/entry/place/1828004443,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220824_4%2F1661341055161naggB_JPEG%2FC1FF9BCE-0299-4D17-8501-1D253912D72C.jpeg,서울,강남구,삼성동,한식,정식/백반,Seasonal dish,"백반/정식,한식,백반,정식/백반",서울 송파구 신천동 솥밥,,
모도우 삼성점,서울 강남구 테헤란로87길 35 금강타워3 B1층,https://map.naver.com/p/entry/place/1048315258,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250722_59%2F1753174325163pqXP9_JPEG%2FDSC_30911.jpg,서울,강남구,삼성동,소고기구이,샤브샤브,런치) 한우 샤브샤브 코스/1++워터에이징 한우 채끝/디너) 1++ 한우 스탠다드 코스/런치) 시그니처 한우 미식코스/디너) 모도우 시그니처 한우 수라코스/1++워터에이징 한우 안심/1++워터에이징 꽃 새우살/1++워터에이징 꽃 살치살/1++ 한우 샤브샤브 스페셜/런치) 한우구이 코스,"한우,샤브샤브,소고기구이",서울 송파구 신천동 솥밥,,
고설우 삼성점,서울 강남구 테헤란로87길 33 B1F,https://map.naver.com/p/entry/place/2008997483,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250619_60%2F1750329512901a8XLb_JPEG%2FKakaoTalk_Photo_2025-06-19-19-38-01_003.jpeg,서울,강남구,삼성동,한식,고기/구이,설우 생갈비/설우 양념갈비/한우 불고기/샤브샤브 1인 상차림/한우구이 오찬차림/트러플 스테이크 솥밥/도미 솥밥/매콤낙지 솥밥/전복우니 솥밥/명란 가리비 솥밥,"한우,한식,낙지,갈비,샤브샤브,고기/구이",서울 송파구 신천동 솥밥,,
솥내음 삼성점,서울 강남구 영동대로106길 41 동영빌딩 지상1층 102~103호,https://map.naver.com/p/entry/place/1191191707,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240520_106%2F17161718330024VobC_JPEG%2FKakaoTalk_20240208_141256217_08.jpg,서울,강남구,삼성동,한식,고기/구이,모듬해물장/매콤소꼬리찜/소꼬리찜/등갈비 김치찜/바지락부산어묵탕/치즈감자전/해물초무침/새우튀김/스테이크 로제떡볶이/닭껍질 만두(6개),"한식,탕,갈비,고기/구이",서울 송파구 신천동 솥밥,,
우멤버,서울 강남구 선릉로100길 34 B1층,https://map.naver.com/p/entry/place/1171369639,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240113_275%2F1705133490992GU4uo_JPEG%2FKakaoTalk_20240112_221920831_01.jpg,서울,강남구,삼성동,소고기구이,면요리,"라이트 코스(바 테이블 전용코스)/런치 스페셜코스(바,룸 예약가능)/디너 프리미엄 코스(바,룸 예약가능)/디너 VIP 코스(바,룸 예약가능)/디너 스페셜 코스/한우 채끝 짜장면/1++No.09 한우 등심 짜장면/1++No.09 한우 치즈버거 세트/1++No.09 한우 오짬게티/1++No.09 한우 중식 세트","면,한우,면요리,소고기구이",서울 강남구 개포동 솥밥,,
민규 삼성점,서울 강남구 봉은사로84길 9 1층 민규 삼성점,https://map.naver.com/p/entry/place/1379805770,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250614_240%2F17498905462862XuUR_JPEG%2FKakaoTalk_20250614_173129959.jpg,서울,강남구,삼성동,"육류,고기요리",한우,1++ 한우 시그니쳐 코스/1++ 한우 구이 런치세트/1++ 한우 스페셜 코스/1++ 한우 스탠다드 코스/1++ 한우 관서풍스키야키 런치세트,"한우,육류,고기요리",서울 광진구 자양동 솥밥,,
둔산돌구이,대전 서구 탄방로7번길 63 1층,https://map.naver.com/p/entry/place/11865759,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250127_214%2F1737942709272MC57s_JPEG%2FIMG_1361.jpeg,대전,서구,탄방동,"육류,고기요리",고기/구이,볶음밥/등심덧살/청국장 찌개/쫄면/숙성생삼겹살/숙성생항정살/숙성생목살,"면,육류,고기요리,삼겹살,탕,고기/구이",대전 서구 괴정동 솥밥,,
북창동순두부 코엑스몰점,서울 강남구 봉은사로111길 18 1층,https://map.naver.com/p/entry/place/1472341577,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240927_295%2F1727394916908BIlgP_JPEG%2F1.jpg,서울,강남구,삼성동,두부요리,고기/구이,2인실속 고등어/2인실속 고추장불고기/2인실속 갈비양념구이/2인실속 떡갈비/2인실속 두부보쌈/2인실속 LA갈비/핵매운라면순두부/햄치즈순두부/북창동순두부/소고기순두부,"순두부,고기/구이,두부요리,면,족발/보쌈,한우,보쌈,갈비",서울 송파구 신천동 솥밥,,
지칸 삼성2호점,서울 강남구 봉은사로82길 29,https://map.naver.com/p/entry/place/1814028678,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20251104_205%2F1762231155226HuulW_JPEG%2F3EJSbkyUGb_01.jpg,서울,강남구,삼성동,이자카야,기타(주점/카페/뷔페/기타),겨울 대방어 사시미/오늘의 사시미/디너오마카세(8코스)/사케무제한(노미호다이)/런치오마카세(6코스)/우니올리오 파스타/홍새우 비스큐 파스타/디너하프오마카세/런치스키야키정식/런치차돌미소나베정식,"기타(주점/카페/뷔페/기타),회,이자카야",서울 송파구 신천동 솥밥,,
우도옥 삼성본점,서울 강남구 삼성로 651 지하1층 B02호,https://map.naver.com/p/entry/place/1796542659,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250910_230%2F1757482831451g4QWj_GIF%2FGIF1.gif,서울,강남구,삼성동,한식,고기/구이,한우++절편등심(130G)/우도옥한우++곰탕/평양식 물냉면/한우++등심불고기(130G)/한우++눈꽃살치살(130G)/우도옥한우++특곰탕/한우++설화양념등심(150g)/한우++새우살(130g)/한우++등심대패(150g)/평양식 비빔냉면,"면,한우,한식,탕,곰탕/설렁탕,고기/구이",서울 강남구 청담동 솥밥,,
청담솥밥,서울 서초구 동광로 92 1층,https://map.naver.com/p/entry/place/1626989145,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260120_230%2F1768920258143UUqQI_JPEG%2F9.jpg,서울,강남구,삼성동,한식,고기/구이,솥밥 정식[2인이상]/만취세트/매콤가지향연솥밥/돼지김치솥밥/채끝 스테이크 솥밥/순두부육개장/육개장/비빔냉면/물냉면/비빔냉면 불고기 세트,"면,한식,순두부,고기/구이",서울 성동구 성수동 솥밥,,
장수장어대전 방배본점,서울 강남구 선릉로155길 15 1층 THE GIWA,https://map.naver.com/p/entry/place/1706021808,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241220_234%2F1734657100302kh5Cx_JPEG%2FKakaoTalk_20241219_182523328_04.jpg,서울,서초구,방배동,"장어,먹장어요리",국밥/탕,강화갯벌특대장어 정식코스(2인)/고창풍천특대장어 정식코스(2인)/파김치 얼큰육개장 전골(조리)(2인분)/성게알 회무침/어린이 생선까스(장어살)/1인 일품 매콤꽃게살 솥밥/단품 고창풍천특대장어(2인분)/단품 강화갯벌특대장어(2인분)/VIP 고창풍천특대장어코스(2)/파김치 얼큰육개장 전골(비조리)(2인분),"장어,회,탕,국밥/탕,장어,먹장어요리",서울 서초구 반포동 솥밥,,
더기와 압구정본점,서울 강남구 언주로164길 24 3층 수린,https://map.naver.com/p/entry/place/1183777678,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260115_118%2F17684609380116tSz5_PNG%2FGemini_Generated_Image_npuh3cnpuh3cnpuh-Photoroom.png,서울,강남구,신사동,한식,고기/구이,구룡포과메기와 제철석화(NEW⭐)/제철방어회(겨울시즌 한정메뉴)/굴보쌈(겨울시즌 한정메뉴)/굴전(겨울시즌 한정메뉴)/굴 솥밥/NEW⭐삼겹살(B B Q)구이정식/⭐말차 막걸리(SNS 1000만뷰)⭐/수육 칼비빔면(더기와의 근본메뉴)❤️/수제미숫가루 막걸리(강추)👍/수제딸기요거트 막걸리(강추)👍,"고기/구이,회,면,족발/보쌈,한식,삼겹살,보쌈",서울 성동구 옥수동 솥밥,,
수린,서울 강남구 삼성로133길 14 101호,https://map.naver.com/p/entry/place/611361308,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210924_40%2F1632462394416UJXS3_JPEG%2FaWNmkPwfB3hUpFcmTH-Nhii_.jpg,서울,강남구,신사동,소고기구이,고기/구이,수린코스/바코스/수린 런치,"고기/구이,소고기구이",서울 성동구 옥수동 솥밥,,
금돈옥 청담점,서울 강남구 언주로170길 22 지하 2층,https://map.naver.com/p/entry/place/1834308627,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240517_25%2F17159169579683bIlY_JPEG%2F%25B8%25C5%25C0%25E5%25BF%25DC%25BA%25CE%25B0%25A1%25B3%25AD.jpg,서울,강남구,청담동,"육류,고기요리",고기/구이,금돈 양념 本 갈비 (250g)/금돈 생 갈비 (200g)/점심 특선 금돈 本 양념 갈비 한상/금돈 등심꽃살 (180g)/금돈 삼겹살 ( 180g)/금돈 꽃 목살 (180g)/금돈 생고기모둠 한판 (700g)/한우 1++ 깍뚝 등심 (130g)/한우1++ 등심 주물럭(130g)/한우1++ 등심 참숯불고기(130g),"한우,육류,고기요리,삼겹살,갈비,고기/구이",서울 성동구 성수동 솥밥,,
